rdIndex,pepper,egg,water,salt,oil,soy sauce,onion,sugar,cream,flour,pork,beef,fish,chicken,sheep,lamb,meat
153,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
154,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
155,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
156,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
157,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
158,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
159,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
160,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
161,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
162,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
163,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
164,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0
165,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
166,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
167,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
168,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
169,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
170,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
171,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
172,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
173,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
174,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
175,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
176,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
177,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
178,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
179,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
180,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
182,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
183,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
184,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
185,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
186,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1
187,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1
188,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
189,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
190,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
192,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
193,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1
194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
195,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
196,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
197,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
198,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1
199,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
200,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
201,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
202,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1
203,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
204,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
205,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
